nuFnu_syn,nu_syn,CLASS,SED_class,GLON,LP_beta,GLAT,Frac_Variability,Pivot_Energy,Highest_energy,PL_Index,SpectrumType,Unc_Frac_Variability,LP_Index,Unc_Energy_Flux100,Unc_Flux1000,Variability_Index,Flux1000,Unc_LP_Index,Energy_Flux100,Signif_Avg,Unc_PL_Index,Unc_LP_beta,Flags,Redshift
-27.410019,29.159235,BLL,LSP,96.89199,0.13243835,-60.49133,0.0,8.368016,3.403069,1.9391596,PowerLaw,2.3025851,1.6612232,-28.789919,2.9144395e-11,2.2270815,-22.946812,-0.3955601,-27.422882,1.5892389,0.19264403,-1.1992513,0,0.461516
-27.033636,28.87076,BLL,LSP,84.59542,0.20197165,-71.0751,0.0,7.217128,2.3986495,2.1779604,LogParabola,2.3025851,2.0099006,-28.61322,4.0111917e-11,1.9957876,-21.828117,-1.9429935,-26.770031,2.5303235,0.08374477,-2.390238,0,1.30999
-26.372555,30.283035,FSRQ,LSP,323.986,0.07083268,-67.53783,0.82349813,6.7429,2.6678321,2.4382217,PowerLaw,-1.6705365,2.393472,-28.623995,3.2763084e-11,5.0323086,-21.665186,-2.6030798,-25.95284,2.9783475,0.057656277,-3.1385329,0,0.88
-26.798851,31.17188,BLL,LSP,115.31625,0.07583693,-15.033559,0.0,7.1956015,4.2217407,2.0533266,LogParabola,2.3025851,1.9260442,-27.71536,7.382693e-11,1.7531033,-19.985847,-3.1480083,-24.698744,3.9744885,0.02554075,-3.9462626,0,0.28
-27.631021,27.631021,BLL,LSP,50.26514,0.19936693,-79.690834,0.0,8.430401,4.2643924,1.7175813,LogParabola,2.3025851,1.4628757,-28.508047,3.407117e-11,2.5272744,-22.429535,-1.5773513,-26.86449,2.4353635,0.09430257,-2.2295122,0,0.147
-26.633057,30.871544,BLL,LSP,104.480736,0.047164176,-54.868298,0.1701378,7.404396,3.8210824,2.1497757,PowerLaw,-1.9114243,2.1215103,-28.35292,4.4573036e-11,2.7052176,-21.38123,-2.5858676,-25.868944,2.8462117,0.06206914,-3.2580693,0,1.562629
-26.524248,32.645805,RDG,ISP,0.6727207,0.05805715,-79.58928,0.5739513,7.3597927,2.553624,2.2399142,PowerLaw,-1.617696,2.2020462,-28.74824,2.8551576e-11,3.3299243,-22.32394,-2.0401483,-26.773975,2.2049417,0.10419278,-2.6529355,0,0.02542
-27.631021,27.631021,BLL,LSP,327.77505,0.0005519108,-71.76617,0.19140024,7.4347796,3.3099005,2.1706803,PowerLaw,-1.5019568,2.1687417,-28.80555,2.8082647e-11,2.6255379,-22.144411,-2.3316724,-26.625591,2.5578418,0.090566225,-3.1153626,0,0.56
-27.1181,29.997568,FSRQ,LSP,10.263708,0.15624313,-80.482315,0.8408478,6.4078865,3.2337015,2.4249508,LogParabola,-1.6604975,2.2681289,-28.436218,4.080262e-11,5.128575,-21.418577,-2.4423687,-25.950829,3.0687194,0.05000419,-2.9443524,0,1.19
-27.01281,29.7002,FSRQ,LSP,102.407234,0.08350547,-60.302692,0.9843933,6.629587,2.38196,2.353539,LogParabola,-1.5186703,2.2449186,-28.044214,5.3551368e-11,5.4427075,-21.059015,-2.5426128,-25.624638,3.1147962,0.0505667,-3.1835058,0,1.492
-26.321775,29.610275,AGN,LSP,115.2578,-0.06169112,-21.451033,0.0,7.5814185,2.5266962,2.2855616,PowerLaw,2.3025851,2.3133092,-28.596195,2.8472318e-11,2.3489869,-22.507746,-2.249536,-26.929575,1.9418899,0.14241414,-3.189676,0,0.2555
-27.135918,28.525246,FSRQ,LSP,99.6602,-0.032258052,-65.55318,0.0,7.9604807,2.6351712,2.1303787,PowerLaw,2.3025851,2.144674,-28.483166,3.6193493e-11,2.4961462,-22.367704,-1.9515796,-26.860264,1.935595,0.16890033,-2.8755312,2,1.075
-25.818218,39.005802,BLL,HSP,74.58781,0.016906332,-78.09192,0.0,8.019063,5.751388,1.9337118,PowerLaw,2.3025851,1.9128351,-28.593596,3.2815733e-11,2.1907353,-22.029867,-2.2579396,-26.503765,2.5865273,0.08670264,-3.0781672,0,0.094846
-26.352179,40.663654,BLL,HSP,317.45294,-0.00039478616,-65.69481,0.16137516,7.6993523,4.478266,2.1108487,PowerLaw,-1.6209586,2.1057856,-28.669666,3.174024e-11,2.4255993,-21.93181,-2.3594286,-26.428047,2.6087098,0.08644091,-3.2218997,0,0.01
-27.296469,30.11299,BCU,LSP,99.509476,0.050394755,-66.18239,0.3875091,7.403909,2.633772,2.373674,PowerLaw,-1.9229909,2.3620024,-28.093838,4.323432e-11,3.1992393,-21.63014,-2.2720826,-25.981556,2.5723872,0.08638218,-2.9268389,0,0.791
-27.208872,33.252953,BLL,ISP,114.71823,-0.048385143,-26.677507,0.0,8.500534,4.5910044,2.020398,PowerLaw,2.3025851,2.0326061,-28.839727,2.7854361e-11,2.6891098,-23.011755,-1.9188547,-27.509119,1.7529474,0.1893453,-2.8976533,0,0.57
-27.113995,28.903698,FSRQ,LSP,104.012276,0.18610372,-61.85269,0.5474806,6.0875196,2.643597,2.7242568,LogParabola,-2.0382967,2.6355696,-28.178766,3.9902835e-11,4.6184187,-21.635166,-2.6091058,-25.534197,3.0351198,0.048281856,-2.924434,0,1.57631
-26.34808,29.88145,FSRQ,LSP,101.209854,0.11479245,-66.667816,0.9674734,6.7963567,2.3101068,2.5351584,LogParabola,-1.5427182,2.5720809,-27.97201,5.0225817e-11,5.627509,-21.059301,-2.8402894,-25.33513,3.1738515,0.042604893,-3.276192,0,0.227
-27.631021,27.631021,BLL,LSP,114.44117,0.08211978,-32.54827,0.058889806,8.573771,4.4771233,1.7317922,PowerLaw,-0.33629382,1.6288027,-28.454712,3.3237593e-11,2.448776,-22.071484,-2.0944028,-26.404745,2.6769736,0.07927863,-2.8573642,0,0.1
-26.502106,34.125824,BLL,ISP,313.70114,0.038925953,-64.835396,0.2602695,7.5132184,4.3721404,2.0147567,PowerLaw,-2.396734,1.9763952,-28.456772,3.804508e-11,3.3891451,-21.22406,-2.85275,-25.720625,3.289805,0.045723274,-3.588783,0,0.25
-27.055948,39.44329,BLL,HSP,107.20704,-0.0500935,-61.85817,0.0,9.376268,5.868825,1.5898169,PowerLaw,2.3025851,1.6291296,-28.624006,2.9742504e-11,2.5060885,-22.932146,-2.1254535,-27.10867,2.1185098,0.14505698,-3.0241823,0,0.306
